nom,rue,long,lat
Parking Célestins,Rue Gaspard André,4.83094505725008,45.7598750320076
Parking Antonin Poncet,Quai Gailleton,4.83256112479859,45.751102602749
Parking Terreaux,Rue d'Algérie,4.83079797448534,45.7672013915663
Parking Récamier,Quai Gailleton,4.83256112479859,45.751102602749
Parking Gare Part Dieu,Rue de la Villette,4.86177,45.761095
Gare de Tassin,Allée des Tilleuls,4.75866000000002,45.7614300000001
Gare d'Ecully-la-Demi-Lune,Place de la Gare,4.8449126,45.7787950410409
Gare d'Albigny-Neuville,Place de la Gare,4.8449126,45.7787950410409
Parking République,Rue Childebert,4.83601348637702,45.7602127902376
Parking Berthelot,Rue de Marseille,4.83857570712069,45.7493945073469
Parking Morand Lyautey,Rue de Sèze,4.85619438200728,45.769071472661
Cuirassiers 2 centre commercial,"17, Rue Docteur Bouchut",4.8547826,45.7596
Parking Saint Georges,Quai Fulchiron/Rue A. Max,4.82430434344853,45.7555932739704
P+R Laurent Bonnevay,Av. M. Cerdan/Cours Zola,4.8968482,45.7663304
Parking Gros Caillou,Rue Aimé Boussange,4.83411291837078,45.7750881169752
Parking Les Halles,Rue Garibaldi,4.85080095408557,45.7670812741512
Parking Gare Perrache La Confluence,Rue Smith,4.82284379643714,45.7432845376866
Gare de Couzon-au-Mont-d'Or,Rue Aristide Briand,4.8428316,45.5458800000001
Gare de Collonges-Fontaines,Rue Pierre Pays,4.84738999700964,45.8288869241346
Halte Ferroviaire de La Tour-de-Salvagny,Rue de la Gare,4.7181179458811,45.8073846383439
Halte Ferroviaire de Dardilly-les-Mouilles,Route d'Ecully,4.76168000000007,45.81667
Gare de Crépieux-la-Pape,Chemin des Iles,4.886247,45.75167
Lyon Eurexpo,Eurexpo,4.98931000000005,45.7689300000001
Parking Cité Internationale P2,Quai Charles de Gaulle,4.84576320734171,45.7798309617674
Parking Hôtel de Ville Villeurbanne,Rue Racine,4.87807986695691,45.7662435435403
Parking Fosse aux Ours,Quai Augagneur/Rue Gambetta,4.8531533080388,45.7076191224858
Parking Saint Jean,Quai Romain Rolland,4.82907006741922,45.7635776996381
Parking Saint Just,Rue des Farges,4.82070864731354,45.7568943114321
